channel_name,channel_url
cocomelon-nursery-rhymes,https://www.youtube.com/c/CoComelon/videos
vlad-and-niki,https://www.youtube.com/c/VladandNiki/videos
kids-diana-show,https://www.youtube.com/c/KidsDianaShow/videos
like-nastya,https://www.youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ/videos
d-billions,https://www.youtube.com/channel/UCi3onjs7UU2Z64i3RrVci-Q/videos
pinkfong-baby-shark,https://www.youtube.com/c/pinkfong/videos
genevieve-playhouse,https://www.youtube.com/c/GenevievesPlayhouse/videos
toys-and-colors,https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A/videos
ChuChu-tv-nursery-rhymes,https://www.youtube.com/c/ChuChuTV/videos
voot-kids,https://www.youtube.com/c/vootkids/videos
Cartoon-Network,https://www.youtube.com/c/cartoonnetwork/videos
Masha-and-The-Bear,https://www.youtube.com/c/MashaBearEN/videos
Ryans-world,https://www.youtube.com/c/RyanToysReview/videos
Kids-TV-Nursery-Rhymes,https://www.youtube.com/c/kidstv/videos
Vania-Mania-Kids,https://www.youtube.com/c/VaniaManiaKids/videos
BabyBus-Kids-Songs-and-Cartoons,https://www.youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA/videos
Kids-Roma-Show,https://www.youtube.com/c/KidsRomaShow/videos
LooLooKids-Nursery-Rhymes,https://www.youtube.com/c/LooLooKids/videos
Little-Baby-Bum-Nursery-Rhymes,https://www.youtube.com/c/LittleBabyBum/videos
Disney-Junior,https://www.youtube.com/user/disneyjunior/videos
